id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
489,"Find the average of the numbers 82, 35, 85, 79, 33.",69.08,65.8,59.8,62.8,d,Easy,Average
490,"Find the average of the numbers 100, 36, 66, 47, 98.",76.34,66.4,72.4,69.4,d,Easy,Average
491,"Find the average of the numbers 27, 91, 48, 40, 42.",49.6,54.56,46.6,52.6,a,Easy,Average
492,"Find the average of the numbers 58, 19, 67, 86, 71.",60.2,63.2,57.2,66.22,a,Easy,Average
493,"Find the average of the numbers 79, 14, 56, 99, 78.",68.2,62.2,71.72,65.2,d,Easy,Average
494,"Find the average of the numbers 94, 95, 55, 31, 92.",80.74,76.4,70.4,73.4,d,Easy,Average
495,"Find the average of the numbers 52, 65, 23, 11, 22.",37.6,38.06,34.6,31.6,c,Easy,Average
496,"Find the average of the numbers 67, 57, 60, 69, 96.",66.8,69.8,76.78,72.8,b,Easy,Average
497,"Find the average of the numbers 71, 23, 47, 63, 20.",47.8,49.28,41.8,44.8,d,Easy,Average
498,"Find the average of the numbers 54, 49, 53, 68, 36.",52,49,55,57.2,a,Easy,Average
499,"Find the average of the numbers 22, 66, 99, 67, 50.",57.8,66.88,63.8,60.8,d,Easy,Average
500,"Find the average of the numbers 100, 24, 12, 53, 92.",59.2,61.82,53.2,56.2,d,Easy,Average
